year,country,GDP growth (annual %),GDP per capita (constant 2015 US$),Gross fixed capital formation (% of GDP),Gross domestic savings (% of GDP),"Inflation, GDP deflator (annual %)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),"Foreign direct investment, net inflows (% of GDP)",Population growth (annual %),"Industry (including construction), value added (% of GDP)","Agriculture, forestry, and fishing, value added (% of GDP)","Services, value added (% of GDP)","School enrollment, secondary (% gross)","Literacy rate, adult total (% of people ages 15 and above)","Access to electricity, rural (% of rural population)"
1960,ABW,,,,,,,,,,,,,,,
1960,AFE,,1172.31628457958,,,,,,,,,,,,,
1960,AFG,,,,,,,,,,,,,,,
1960,AFW,,1110.51384929754,,,,,,,,,,,,,
1960,AGO,,,,,,,,,,,,,,,
1960,ALB,,,,,,,,,,,,,,,
1960,AND,,,,,,,,,,,,,,,
1960,ARB,,,,,,,,,,,,,,,
1960,ARE,,,,,,,,,,,,,,,
1960,ARG,,7397.10965495682,23.4787682830017,20.9635208111813,,7.60404910825644,7.60404697912324,,,,,,,,
1960,ARM,,,,,,,,,,,,,,,
1960,ASM,,,,,,,,,,,,,,,
1960,ATG,,,,,,,,,,,,,,,
1960,AUS,,19905.3134669222,30.2636330805345,31.2688094378235,,12.970988323101,14.0363548814253,,,,,,,,
1960,AUT,,11894.7440845275,,,,,,,,,,,,,
1960,AZE,,,,,,,,,,,,,,,
1960,BDI,,288.878981794325,6.25000031887757,5.35714006924184,,12.4999996173469,13.3928578261662,,,,,,,,
1960,BEL,,11715.8268791057,,,,,,,,,,,,,
1960,BEN,,655.913007583172,,5.43301937984522,,6.12391381286847,12.1102860037387,,,10.2269747245557,46.1577230946704,43.615302180774,,,
1960,BFA,,244.167257873365,,4.43527836768876,,4.86196544713728,15.839404612418,,,19.9138430386342,38.4845333396091,38.266007009697,,,
1960,BGD,,429.398700910166,,7.58369617695596,,9.99668529799247,9.30725837281466,,,6.97381556958263,57.4743123752637,35.5518720551537,,,
1960,BGR,,,,,,,,,,,,,,,
1960,BHR,,,,,,,,,,,,,,,
1960,BHS,,18789.5115786787,,,,,,,,,,,,,
1960,BIH,,,,,,,,,,,,,,,
1960,BLR,,,,,,,,,,,,,,,
1960,BLZ,,1554.73650901524,,,,,,,,,,,,,
1960,BMU,,39906.0219422945,,,,,,,,,,,,,
1960,BOL,,1276.96577008225,,7.34538959589194,,16.2089752176825,23.9339138200491,,,,,,,,
1960,BRA,,2603.51901056021,,28.4217155123035,,6.28181356216762,6.33365796570683,,,0.0,0.0,0.0,,,
1960,BRB,,7381.7971438422,,,,,,,,,,,,,
1960,BRN,,,,,,,,,,,,,,,
1960,BTN,,,,,,,,,,,,,,,
1960,BWA,,393.861742487166,,-10.0340661316271,,26.2756360317336,39.6439420829665,,,13.3305060134328,43.222960296131,43.1201626323578,,,
1960,CAF,,575.894391468806,,8.72727349818173,,23.2727244800003,34.1818122618189,,,,,,,,
1960,CAN,,15432.4717832501,,,,,,,,,,,,,
1960,CEB,,,,,,,,,,,,,,,
1960,CHE,,39907.2639481954,,,,,,,,,,,,,
1960,CHI,,,,,,,,,,,,,,,
1960,CHL,,3283.95690828934,14.8036938730369,11.0433753594338,,13.0561822605618,15.8333112143331,,,35.8499447024994,10.5041141340411,52.1219199292192,,,
1960,CHN,,238.217052030298,32.6463422624311,37.1068077477723,,3.1533460689749,3.16595570165295,,,44.3915379906129,23.1752941976736,32.4331678117135,,,
1960,CIV,,1495.16746754194,,29.0904050774459,,34.2395470688431,22.9045205039723,,,13.1387841021551,47.9079229501998,38.9532929476451,,,
1960,CMR,,935.699954812011,,,,,,,,,,,,,
1960,COD,,1255.69660853314,,,,,,,,,,,,,
1960,COG,,1192.85616529576,,-11.9670145957923,,20.4533253450586,85.6071667649215,,,17.0278623527498,23.6004633237329,59.3716743235173,,,
1960,COL,,1961.2291441726,18.9850377803617,20.5819005709116,,15.694579144343,14.7574328795702,,,,,,,,
1960,COM,,,,,,,,,,,,,,,
1960,CPV,,,,,,,,,,,,,,,
1960,CRI,,3609.40919815492,16.0950871459474,12.6096897318868,,21.185106017472,26.0758590403175,,,20.1363383928447,26.3520345148027,53.5116201005684,,,
1960,CSS,,4421.60518779584,,,,,,,,,16.5092690869662,,,,
1960,CUB,,,,,,,,,,,,,,,
1960,CUW,,,,,,,,,,,,,,,
1960,CYM,,,,,,,,,,,,,,,
1960,CYP,,,,,,,,,,,,,,,
1960,CZE,,,,,,,,,,,,,,,
1960,DEU,,12600.3273968705,,,,,,,,,,,,,
1960,DJI,,,,,,,,,,,,,,,
1960,DMA,,,,,,,,,,,,,,,
1960,DNK,,17520.746481577,,,,,,,,,,,,,
1960,DOM,,1386.30728237197,11.2581846779527,16.5674821092276,,25.5948954171157,18.8132148185075,,,,,85.6633190050501,,,
1960,DZA,,2388.42007867121,,17.2653597684521,,39.043172595018,67.1436317062962,,,,,,,,
1960,EAP,,322.960773369588,27.6264338759474,33.9517370272218,,5.43591242250581,6.0852945207683,,,48.4297169008953,29.4558781938176,60.7479833718222,,,
1960,EAR,,1061.60473854713,,16.4355757929767,,,15.2894229061709,,,,,,,,
1960,EAS,,1144.31010091172,52.4317631340627,11.251730008056,,12.4913688938954,12.9283012972725,,,94.7463095335514,24.6498875514344,,,,
1960,ECA,,,,,,,,,,,,,,,
1960,ECS,,7249.65746097003,,,,,,,,,,,,,
1960,ECU,,2391.68004251383,11.9989860950823,25.0108691760961,,9.54757461031659,10.3640720150215,,,22.0207609495594,33.6548595411915,40.9723697497122,,,
