mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__reg_lambda,param_model__reg_alpha,param_model__num_leaves,param_model__n_estimators,param_model__min_child_samples,param_model__max_depth,param_model__learning_rate,param_model__colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.4768572648366292,0.14028428479706706,0.00893076260884603,0.0009313634416302883,0.9,0.5,0.0,100,200,10,5,0.2,0.7,"{'model__subsample': 0.9, 'model__reg_lambda': 0.5, 'model__reg_alpha': 0, 'model__num_leaves': 100, 'model__n_estimators': 200, 'model__min_child_samples': 10, 'model__max_depth': 5, 'model__learning_rate': 0.2, 'model__colsample_bytree': 0.7}",-5.6028186579246295,-5.8545258775989675,-5.309221875670916,-5.58885547039817,0.2228382695799973,26,-4.6733705052065915,-4.76447456524478,-5.176600432700333,-4.871481834383901,0.2189337901707552
0.5200775464375814,0.20181663802619676,0.029412349065144856,0.016359399440182856,1.0,0.1,0.1,100,500,10,5,0.15,1.0,"{'model__subsample': 1.0, 'model__reg_lambda': 0.1, 'model__reg_alpha': 0.1, 'model__num_leaves': 100, 'model__n_estimators': 500, 'model__min_child_samples': 10, 'model__max_depth': 5, 'model__learning_rate': 0.15, 'model__colsample_bytree': 1.0}",-5.580782322195037,-5.873864551285033,-5.268704490932187,-5.574450454804086,0.24709612713821516,25,-4.414072920905929,-4.757830744507961,-5.1766524301970875,-4.782852031870326,0.31182412309253055
1.0557839075724285,0.2736223295176645,0.011440356572469076,0.0013721729227860755,0.7,0.1,1.0,200,200,50,15,0.15,1.0,"{'model__subsample': 0.7, 'model__reg_lambda': 0.1, 'model__reg_alpha': 1.0, 'model__num_leaves': 200, 'model__n_estimators': 200, 'model__min_child_samples': 50, 'model__max_depth': 15, 'model__learning_rate': 0.15, 'model__colsample_bytree': 1.0}",-5.59905699494726,-5.729123578687159,-5.23535201243144,-5.521177528688621,0.20896809702153832,18,-4.851441229801283,-4.588576098659339,-5.236303635676945,-4.892106988045856,0.26599250424642684
0.9470229943593343,0.08874262536039446,0.010783751805623373,0.00029714023330190226,1.0,0.0,0.5,100,500,10,10,0.15,0.8,"{'model__subsample': 1.0, 'model__reg_lambda': 0, 'model__reg_alpha': 0.5, 'model__num_leaves': 100, 'model__n_estimators': 500, 'model__min_child_samples': 10, 'model__max_depth': 10, 'model__learning_rate': 0.15, 'model__colsample_bytree': 0.8}",-5.552084046704292,-5.756965271956873,-5.254658939179366,-5.5212360859468435,0.2062225504954403,19,-4.0951435274153996,-4.330413006278034,-4.928856227566645,-4.451470920420026,0.35096104297645125
0.42627429962158203,0.07323151678579581,0.01142104466756185,0.0025006361118814335,1.0,0.1,0.5,200,200,20,5,0.2,0.8,"{'model__subsample': 1.0, 'model__reg_lambda': 0.1, 'model__reg_alpha': 0.5, 'model__num_leaves': 200, 'model__n_estimators': 200, 'model__min_child_samples': 20, 'model__max_depth': 5, 'model__learning_rate': 0.2, 'model__colsample_bytree': 0.8}",-5.632373535730718,-5.757407154361488,-5.229374359672305,-5.539718349921504,0.22530482412326358,21,-4.866068613300445,-4.594867258721477,-5.148091065255445,-4.869675645759123,0.22586707453921015
0.799475351969401,0.10214348529280927,0.012085676193237305,0.0037776471651940267,1.0,0.1,0.1,50,200,20,10,0.15,0.9,"{'model__subsample': 1.0, 'model__reg_lambda': 0.1, 'model__reg_alpha': 0.1, 'model__num_leaves': 50, 'model__n_estimators': 200, 'model__min_child_samples': 20, 'model__max_depth': 10, 'model__learning_rate': 0.15, 'model__colsample_bytree': 0.9}",-5.56205362838984,-5.718303011634716,-5.150302787890308,-5.476886475971622,0.23957760945978182,11,-4.397619733163266,-4.345531879147093,-5.006805549044401,-4.58331905378492,0.3002042581136732
2.056402047475179,0.18694917917835877,0.011764844258626303,0.0018626164620627543,0.9,0.0,0.0,100,100,10,-1,0.1,0.7,"{'model__subsample': 0.9, 'model__reg_lambda': 0, 'model__reg_alpha': 0, 'model__num_leaves': 100, 'model__n_estimators': 100, 'model__min_child_samples': 10, 'model__max_depth': -1, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.7}",-5.589113434357807,-5.679391714307675,-5.152478783838667,-5.473661310834717,0.23008144020955215,10,-4.302962615230021,-3.897750019358396,-4.5505049461131035,-4.25040586023384,0.2690649338882497
1.992631196975708,0.10560137633933417,0.025058984756469727,0.01122322165845691,0.8,0.1,0.1,50,200,20,-1,0.05,1.0,"{'model__subsample': 0.8, 'model__reg_lambda': 0.1, 'model__reg_alpha': 0.1, 'model__num_leaves': 50, 'model__n_estimators': 200, 'model__min_child_samples': 20, 'model__max_depth': -1, 'model__learning_rate': 0.05, 'model__colsample_bytree': 1.0}",-5.555978633673263,-5.703387675987158,-5.118653164543478,-5.459339824734633,0.24830479491024424,9,-4.468049635517397,-4.393897722025389,-4.863977010216924,-4.57530812258657,0.20635232263120798
1.9637056191762288,0.5139780470672936,0.012864430745442709,0.0013205496430684863,0.7,0.1,1.0,100,300,30,-1,0.15,0.7,"{'model__subsample': 0.7, 'model__reg_lambda': 0.1, 'model__reg_alpha': 1.0, 'model__num_leaves': 100, 'model__n_estimators': 300, 'model__min_child_samples': 30, 'model__max_depth': -1, 'model__learning_rate': 0.15, 'model__colsample_bytree': 0.7}",-5.509867575633447,-5.692643925544756,-5.066133046924031,-5.422881516034078,0.2630638720678523,4,-4.31711060083262,-3.8638208745093956,-4.513232474404811,-4.2313879832489425,0.2719621688075124
1.6356260776519775,0.19380345190699982,0.049117326736450195,0.04386375481488959,0.8,0.0,0.0,150,200,20,15,0.1,0.9,"{'model__subsample': 0.8, 'model__reg_lambda': 0, 'model__reg_alpha': 0, 'model__num_leaves': 150, 'model__n_estimators': 200, 'model__min_child_samples': 20, 'model__max_depth': 15, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.9}",-5.540123418151575,-5.683454436207661,-5.139341965835357,-5.454306606731532,0.2302722865730776,7,-4.463165985402022,-4.201576922763182,-4.7488630269663865,-4.471201978377197,0.22350086181907386
4.709730943044026,0.4416958140239258,0.051487366358439125,0.04563724181231262,1.0,0.1,0.1,200,200,50,10,0.01,1.0,"{'model__subsample': 1.0, 'model__reg_lambda': 0.1, 'model__reg_alpha': 0.1, 'model__num_leaves': 200, 'model__n_estimators': 200, 'model__min_child_samples': 50, 'model__max_depth': 10, 'model__learning_rate': 0.01, 'model__colsample_bytree': 1.0}",-5.702451285642147,-5.83109663762029,-5.26264731536759,-5.598731746210009,0.24338168259943707,28,-5.162484110254593,-5.064213443121399,-5.347027321341947,-5.19124162490598,0.1172352859715033
0.3669749895731608,0.08350003639340989,0.008530298868815104,0.0011287058245152296,1.0,0.5,0.5,50,300,50,5,0.2,0.8,"{'model__subsample': 1.0, 'model__reg_lambda': 0.5, 'model__reg_alpha': 0.5, 'model__num_leaves': 50, 'model__n_estimators': 300, 'model__min_child_samples': 50, 'model__max_depth': 5, 'model__learning_rate': 0.2, 'model__colsample_bytree': 0.8}",-5.5643112227582945,-5.816310284647835,-5.33733280446766,-5.572651437291263,0.19563064861072507,24,-4.879325016241245,-4.87012550815985,-5.634635704002175,-5.12802874280109,0.35824490467675235
4.544855991999309,0.3843660587606265,0.05248888333638509,0.026654781872828572,0.8,1.0,0.1,31,300,50,15,0.01,1.0,"{'model__subsample': 0.8, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.1, 'model__num_leaves': 31, 'model__n_estimators': 300, 'model__min_child_samples': 50, 'model__max_depth': 15, 'model__learning_rate': 0.01, 'model__colsample_bytree': 1.0}",-5.6551353829794735,-5.803096508162403,-5.198296346173821,-5.552176079105233,0.25741830118318426,23,-5.1080114466179065,-4.947911907233062,-5.271232356793532,-5.109051903548167,0.1319970711517591
0.6362046400705973,0.10703236079476779,0.00929570198059082,0.0018026453470538725,0.8,0.1,0.5,150,200,20,5,0.1,0.9,"{'model__subsample': 0.8, 'model__reg_lambda': 0.1, 'model__reg_alpha': 0.5, 'model__num_leaves': 150, 'model__n_estimators': 200, 'model__min_child_samples': 20, 'model__max_depth': 5, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.9}",-5.578614053209466,-5.751907463320029,-5.217823132788818,-5.516114883106105,0.22247266158257065,15,-4.84696480551771,-4.713030737820529,-5.184833141674664,-4.914942895004301,0.19851975981972234
0.5158132712046305,0.03156299303378877,0.01540668805440267,0.009861136566096017,0.8,0.0,0.0,31,300,50,10,0.2,0.8,"{'model__subsample': 0.8, 'model__reg_lambda': 0, 'model__reg_alpha': 0, 'model__num_leaves': 31, 'model__n_estimators': 300, 'model__min_child_samples': 50, 'model__max_depth': 10, 'model__learning_rate': 0.2, 'model__colsample_bytree': 0.8}",-5.591647973071603,-5.757575261317413,-5.224712119511215,-5.524645117966744,0.2226399468769326,20,-4.832332569429008,-4.566663871607195,-5.121561941355109,-4.840186127463771,0.22660424493353226
1.7609810034434001,0.39667147880123993,0.015222390492757162,0.006268699236321185,1.0,1.0,1.0,150,500,10,-1,0.15,0.9,"{'model__subsample': 1.0, 'model__reg_lambda': 1.0, 'model__reg_alpha': 1.0, 'model__num_leaves': 150, 'model__n_estimators': 500, 'model__min_child_samples': 10, 'model__max_depth': -1, 'model__learning_rate': 0.15, 'model__colsample_bytree': 0.9}",-5.595041580031342,-5.6863617454406254,-5.278835659140383,-5.5200796615374506,0.17461165419679528,16,-4.178430355645648,-3.4881819451006497,-4.83889282802578,-4.168501709590693,0.5514700994145616
11.09023404121399,1.2758465219296675,0.04161222775777181,0.0036221058189634977,1.0,0.5,1.0,200,300,10,-1,0.01,0.8,"{'model__subsample': 1.0, 'model__reg_lambda': 0.5, 'model__reg_alpha': 1.0, 'model__num_leaves': 200, 'model__n_estimators': 300, 'model__min_child_samples': 10, 'model__max_depth': -1, 'model__learning_rate': 0.01, 'model__colsample_bytree': 0.8}",-5.408880878673609,-5.633007675046033,-5.129360587852606,-5.390416380524083,0.20602718328502415,1,-3.5637607117852665,-3.643003341921265,-4.3515411460132,-3.852768399906577,0.3541661924405677
2.700150648752848,0.6443909541946037,0.013950347900390625,0.0028900383110803916,0.7,0.1,0.1,200,100,10,10,0.05,0.9,"{'model__subsample': 0.7, 'model__reg_lambda': 0.1, 'model__reg_alpha': 0.1, 'model__num_leaves': 200, 'model__n_estimators': 100, 'model__min_child_samples': 10, 'model__max_depth': 10, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.9}",-5.619495415030336,-5.719173439767762,-5.121768713180106,-5.486812522659402,0.26131292133284145,13,-4.480141562445833,-3.9207868740940435,-4.422268859852002,-4.274399098797293,0.25115535234998065
1.6017649968465169,0.16327450390282952,0.014881372451782227,0.0003652826292926036,0.7,0.0,0.5,50,200,50,5,0.01,0.9,"{'model__subsample': 0.7, 'model__reg_lambda': 0, 'model__reg_alpha': 0.5, 'model__num_leaves': 50, 'model__n_estimators': 200, 'model__min_child_samples': 50, 'model__max_depth': 5, 'model__learning_rate': 0.01, 'model__colsample_bytree': 0.9}",-5.82826135098435,-5.963243766328021,-5.345897611517975,-5.712467576276782,0.26499712880263143,29,-5.49398860896496,-5.407474589364419,-5.6689060564207585,-5.523456418250046,0.10874394030582149
1.000229040781657,0.13676928044857373,0.009132782618204752,0.00161398046412874,1.0,0.5,0.0,100,200,10,-1,0.2,0.8,"{'model__subsample': 1.0, 'model__reg_lambda': 0.5, 'model__reg_alpha': 0, 'model__num_leaves': 100, 'model__n_estimators': 200, 'model__min_child_samples': 10, 'model__max_depth': -1, 'model__learning_rate': 0.2, 'model__colsample_bytree': 0.8}",-5.636981279787925,-5.665787150090504,-5.259804456317194,-5.520857628731875,0.1849666882834113,17,-4.546814993547879,-3.9558486673840374,-4.721469098498197,-4.408044253143371,0.32760408008160236
