mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__bagging_freq,param_model__colsample_bytree,param_model__feature_fraction,param_model__learning_rate,param_model__max_depth,param_model__min_child_samples,param_model__min_data_in_leaf,param_model__min_gain_to_split,param_model__n_estimators,param_model__num_leaves,param_model__reg_alpha,param_model__reg_lambda,param_model__subsample,param_model__subsample_freq,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1.017188835144043,0.058872924071576516,0.009805059432983399,0.0026801575703579595,5,0.9186171947440931,0.7550304369598491,0.14180715647623926,6,87,32,0.02904180608409973,187,119,0.14286681792194078,0.6508884729488529,0.6225646316108401,10,"{'model__bagging_freq': 5, 'model__colsample_bytree': np.float64(0.9186171947440931), 'model__feature_fraction': np.float64(0.7550304369598491), 'model__learning_rate': np.float64(0.14180715647623926), 'model__max_depth': 6, 'model__min_child_samples': 87, 'model__min_data_in_leaf': 32, 'model__min_gain_to_split': np.float64(0.02904180608409973), 'model__n_estimators': 187, 'model__num_leaves': 119, 'model__reg_alpha': np.float64(0.14286681792194078), 'model__reg_lambda': np.float64(0.6508884729488529), 'model__subsample': np.float64(0.6225646316108401), 'model__subsample_freq': 10}",-5.100616712259465,-6.0472330496188995,-6.018254409099105,-5.116413708676814,-5.438837728410734,-5.544271121613003,0.4168064920283681,78,-5.202400067547864,-4.907625436722422,-5.0878452202097435,-5.162267602571142,-5.051107245983866,-5.0822491146070075,0.10230715631456064
1.2002241134643554,0.1178483322182786,0.021634435653686522,0.031122580030359795,10,0.9754210836063001,0.7002336297523043,0.2921573276549858,-1,80,31,0.003533152609858703,956,68,0.5247746602583891,0.3998609717152555,0.6186662652854461,10,"{'model__bagging_freq': 10, 'model__colsample_bytree': np.float64(0.9754210836063001), 'model__feature_fraction': np.float64(0.7002336297523043), 'model__learning_rate': np.float64(0.2921573276549858), 'model__max_depth': -1, 'model__min_child_samples': 80, 'model__min_data_in_leaf': 31, 'model__min_gain_to_split': np.float64(0.003533152609858703), 'model__n_estimators': 956, 'model__num_leaves': 68, 'model__reg_alpha': np.float64(0.5247746602583891), 'model__reg_lambda': np.float64(0.3998609717152555), 'model__subsample': np.float64(0.6186662652854461), 'model__subsample_freq': 10}",-5.155152606909595,-6.165023979146571,-6.116975943346937,-5.059318458263467,-5.487390020342163,-5.5967722016017465,0.46676993687041207,92,-5.221071728043422,-5.119474971499767,-5.329312331819671,-4.870090389566386,-4.820280929826181,-5.072046070151086,0.1973909114369576
1.6161372661590576,0.44006974422579004,0.009882116317749023,0.0034963284775006266,10,0.6931085361721216,0.7271819303598462,0.08192776699882925,13,59,12,0.4299702033681603,746,40,0.450499251969543,0.013264961159866528,0.9768807022739411,1,"{'model__bagging_freq': 10, 'model__colsample_bytree': np.float64(0.6931085361721216), 'model__feature_fraction': np.float64(0.7271819303598462), 'model__learning_rate': np.float64(0.08192776699882925), 'model__max_depth': 13, 'model__min_child_samples': 59, 'model__min_data_in_leaf': 12, 'model__min_gain_to_split': np.float64(0.4299702033681603), 'model__n_estimators': 746, 'model__num_leaves': 40, 'model__reg_alpha': np.float64(0.450499251969543), 'model__reg_lambda': np.float64(0.013264961159866528), 'model__subsample': np.float64(0.9768807022739411), 'model__subsample_freq': 1}",-4.999642878801624,-5.915307176461918,-5.965453189366678,-5.124643071242651,-5.384052066146483,-5.477819676403871,0.39783435864772015,41,-4.704628288139044,-3.947184016953135,-4.864326978795863,-4.454572984081063,-3.94204705648801,-4.382551864891424,0.38068810689168875
4.3280352592468265,0.657196966337621,0.03031125068664551,0.014340206338708618,1,0.7541666010159664,0.7047898756660642,0.021930986997479973,13,64,16,0.30499832889131046,875,54,0.9093204020787821,0.2587799816000169,0.8650089137415928,1,"{'model__bagging_freq': 1, 'model__colsample_bytree': np.float64(0.7541666010159664), 'model__feature_fraction': np.float64(0.7047898756660642), 'model__learning_rate': np.float64(0.021930986997479973), 'model__max_depth': 13, 'model__min_child_samples': 64, 'model__min_data_in_leaf': 16, 'model__min_gain_to_split': np.float64(0.30499832889131046), 'model__n_estimators': 875, 'model__num_leaves': 54, 'model__reg_alpha': np.float64(0.9093204020787821), 'model__reg_lambda': np.float64(0.2587799816000169), 'model__subsample': np.float64(0.8650089137415928), 'model__subsample_freq': 1}",-4.961773729337031,-5.910079431201782,-5.875455710832268,-4.995422391299928,-5.340490332228698,-5.416644318979942,0.4108821482239194,10,-4.716140998659889,-4.457047683300488,-4.618147741114005,-4.516991883129374,-4.3092284197130954,-4.523511345183371,0.13888075800317234
1.4863382816314696,0.14291789600568183,0.013164854049682618,0.004906866118622478,1,0.8080272084711243,0.8640130838029838,0.01875220945578641,3,94,43,0.1975751180009072,369,290,0.0884925020519195,0.1959828624191452,0.6180909155642152,10,"{'model__bagging_freq': 1, 'model__colsample_bytree': np.float64(0.8080272084711243), 'model__feature_fraction': np.float64(0.8640130838029838), 'model__learning_rate': np.float64(0.01875220945578641), 'model__max_depth': 3, 'model__min_child_samples': 94, 'model__min_data_in_leaf': 43, 'model__min_gain_to_split': np.float64(0.1975751180009072), 'model__n_estimators': 369, 'model__num_leaves': 290, 'model__reg_alpha': np.float64(0.0884925020519195), 'model__reg_lambda': np.float64(0.1959828624191452), 'model__subsample': np.float64(0.6180909155642152), 'model__subsample_freq': 10}",-5.218352099265142,-6.127804680726271,-6.0836535246870085,-5.177942766439725,-5.579233396597781,-5.637397293543185,0.4073633281162391,99,-5.537871267289942,-5.30365376612309,-5.408038819116139,-5.543572353414173,-5.42536204891948,-5.443699650972564,0.08951386758914982
0.669763708114624,0.06871392232941712,0.010404443740844727,0.0048788786959146555,0,0.7554709158757928,0.7814047095321688,0.16755052359850303,11,93,38,0.40109849037701983,164,28,0.7722447692966574,0.1987156815341724,0.602208846849441,5,"{'model__bagging_freq': 0, 'model__colsample_bytree': np.float64(0.7554709158757928), 'model__feature_fraction': np.float64(0.7814047095321688), 'model__learning_rate': np.float64(0.16755052359850303), 'model__max_depth': 11, 'model__min_child_samples': 93, 'model__min_data_in_leaf': 38, 'model__min_gain_to_split': np.float64(0.40109849037701983), 'model__n_estimators': 164, 'model__num_leaves': 28, 'model__reg_alpha': np.float64(0.7722447692966574), 'model__reg_lambda': np.float64(0.1987156815341724), 'model__subsample': np.float64(0.602208846849441), 'model__subsample_freq': 5}",-5.061886255549857,-5.942436886385579,-6.022269342755836,-5.00537774367216,-5.441957832471457,-5.494785612166977,0.42622609923776206,50,-5.171129741785835,-4.5854938802109135,-5.020611240889749,-5.00515258085291,-4.686077641711253,-4.893693017090133,0.22072311078060025
0.8168187618255616,0.23879919993266638,0.006631231307983399,0.0014631973764931965,5,0.8827429375390468,0.9187021504122961,0.13780336485751998,6,45,37,0.43155171293779676,939,287,0.3308980248526492,0.06355835028602363,0.7243929286862649,10,"{'model__bagging_freq': 5, 'model__colsample_bytree': np.float64(0.8827429375390468), 'model__feature_fraction': np.float64(0.9187021504122961), 'model__learning_rate': np.float64(0.13780336485751998), 'model__max_depth': 6, 'model__min_child_samples': 45, 'model__min_data_in_leaf': 37, 'model__min_gain_to_split': np.float64(0.43155171293779676), 'model__n_estimators': 939, 'model__num_leaves': 287, 'model__reg_alpha': np.float64(0.3308980248526492), 'model__reg_lambda': np.float64(0.06355835028602363), 'model__subsample': np.float64(0.7243929286862649), 'model__subsample_freq': 10}",-5.084713717565296,-5.912082153962561,-6.014096519100842,-5.155151250816479,-5.448733722089827,-5.522955472707001,0.38091567344299593,68,-4.925741899944488,-4.426774186617785,-5.1198769939658675,-5.058321631333956,-4.813166282990659,-4.868776198970551,0.24522740994584893
3.823188304901123,0.5826897004001339,0.006524848937988281,0.0012730251863782552,0,0.8918424713352255,0.8912672414065639,0.20441878352493792,-1,51,23,0.42445691213304193,104,237,0.23598491974895575,0.25606832276132396,0.6161734358153725,5,"{'model__bagging_freq': 0, 'model__colsample_bytree': np.float64(0.8918424713352255), 'model__feature_fraction': np.float64(0.8912672414065639), 'model__learning_rate': np.float64(0.20441878352493792), 'model__max_depth': -1, 'model__min_child_samples': 51, 'model__min_data_in_leaf': 23, 'model__min_gain_to_split': np.float64(0.42445691213304193), 'model__n_estimators': 104, 'model__num_leaves': 237, 'model__reg_alpha': np.float64(0.23598491974895575), 'model__reg_lambda': np.float64(0.25606832276132396), 'model__subsample': np.float64(0.6161734358153725), 'model__subsample_freq': 5}",-4.95051158470363,-5.874189097559741,-5.964224612718171,-4.95687069433072,-5.368462730544057,-5.422851743971264,0.4335877579503755,14,-4.16169220068342,-3.95842065316006,-4.704498390913436,-4.2577392402953675,-4.117151629490674,-4.239900422908592,0.25162835625853136
3.63797869682312,0.5427369482003075,0.01231398582458496,0.003737476799090724,5,0.6443563283247326,0.831800950559731,0.019859290160502092,8,56,41,0.34775804321306375,584,250,0.41038292303562973,0.7555511385430487,0.6915192661966489,10,"{'model__bagging_freq': 5, 'model__colsample_bytree': np.float64(0.6443563283247326), 'model__feature_fraction': np.float64(0.831800950559731), 'model__learning_rate': np.float64(0.019859290160502092), 'model__max_depth': 8, 'model__min_child_samples': 56, 'model__min_data_in_leaf': 41, 'model__min_gain_to_split': np.float64(0.34775804321306375), 'model__n_estimators': 584, 'model__num_leaves': 250, 'model__reg_alpha': np.float64(0.41038292303562973), 'model__reg_lambda': np.float64(0.7555511385430487), 'model__subsample': np.float64(0.6915192661966489), 'model__subsample_freq': 10}",-5.041583930215431,-5.9638566369282815,-5.96480702145367,-5.020119933828809,-5.4635289450349385,-5.490779293492226,0.4177424442088684,47,-5.183886920512293,-4.779517599340372,-5.0299760879525435,-5.052634503984172,-5.053334199314682,-5.019869862220813,0.1318835282269119
0.9647071838378907,0.1994896498696197,0.009110355377197265,0.005527576490131086,5,0.7159005811655073,0.7483663861762013,0.23619797107806514,14,66,15,0.22826728524145512,719,63,0.4165099478703662,0.8832802589188683,0.7297380084021096,5,"{'model__bagging_freq': 5, 'model__colsample_bytree': np.float64(0.7159005811655073), 'model__feature_fraction': np.float64(0.7483663861762013), 'model__learning_rate': np.float64(0.23619797107806514), 'model__max_depth': 14, 'model__min_child_samples': 66, 'model__min_data_in_leaf': 15, 'model__min_gain_to_split': np.float64(0.22826728524145512), 'model__n_estimators': 719, 'model__num_leaves': 63, 'model__reg_alpha': np.float64(0.4165099478703662), 'model__reg_lambda': np.float64(0.8832802589188683), 'model__subsample': np.float64(0.7297380084021096), 'model__subsample_freq': 5}",-5.0796710196425385,-6.157289532144903,-5.856705714076972,-5.070260300047238,-5.439814443958893,-5.52074820197411,0.42943940636519273,67,-4.986984004933819,-4.831118692463145,-4.36746228854084,-4.895813906896827,-3.8967431536109154,-4.595624409289109,0.40968929394542264
